__id__,AX1,AX2,AX3,AY1,AY2,AY3,AZ1,AZ2,AZ3,EMG,GX1,GX2,GX3,GY1,GY2,GY3,GZ1,GZ2,GZ3,labels
16:28:00,0.16,0.21,0.17,-1.58,-1.53,-1.53,9.88,9.93,9.91,2,-0.07,,-0.08,0.03,0.02,0.03,-0.03,-0.02,-0.02,N
16:28:03,0.17,0.17,0.18,-1.52,-1.61,-1.5,9.86,9.95,9.92,2,-0.07,,-0.08,0.03,0.03,0.03,-0.02,-0.02,-0.02,N
16:28:06,0.19,0.17,0.17,-1.61,-1.6,-1.5,9.87,9.84,9.96,2,-0.07,,-0.07,0.03,0.02,0.03,-0.02,-0.02,-0.02,N
16:28:08,0.2,0.18,0.11,-1.53,-1.58,-1.55,9.87,9.87,9.92,2,-0.08,,-0.07,0.03,0.02,0.03,-0.02,-0.02,-0.02,N
16:28:10,0.19,0.22,0.22,-1.49,-1.53,-1.54,9.86,9.95,9.86,2,-0.07,,-0.07,0.03,0.03,0.03,-0.02,-0.02,-0.02,N
16:28:12,0.22,0.21,0.16,-1.51,-1.57,-1.6,9.91,9.95,9.93,2,-0.07,,-0.08,0.03,0.03,0.03,-0.02,-0.02,-0.02,N
16:28:14,0.17,0.24,0.18,-1.53,-1.55,-1.55,9.94,9.85,9.93,2,-0.07,,-0.07,0.03,0.03,0.03,-0.02,-0.02,-0.02,N
16:28:17,0.23,0.18,0.13,-1.53,-1.59,-1.53,9.8,9.87,9.84,2,-0.07,,-0.07,0.02,0.03,0.03,-0.03,-0.02,-0.03,N
16:28:19,0.21,0.19,0.17,-1.58,-1.53,-1.61,9.89,9.89,9.9,2,-0.08,,-0.07,0.03,0.03,0.03,-0.02,-0.02,-0.02,N
16:28:21,0.16,0.19,0.22,-1.53,-1.54,-1.56,9.85,9.93,9.91,1,-0.08,,-0.07,0.03,0.03,0.03,-0.02,-0.02,-0.03,N
16:28:23,0.18,0.22,0.27,-1.56,-1.59,-1.61,9.85,9.87,9.9,2,-0.07,,-0.07,0.02,0.03,0.03,-0.02,-0.02,-0.03,N
16:28:26,0.08,0.22,0.23,-1.53,-1.49,-1.53,9.97,9.79,9.9,2,-0.08,,-0.08,0.02,0.03,0.04,-0.02,-0.02,-0.02,N
16:28:28,0.19,0.15,0.12,-1.57,-1.61,-1.52,9.9,9.8,9.83,2,-0.07,,-0.07,0.03,0.03,0.03,-0.03,-0.02,-0.02,N
16:28:30,0.18,0.15,0.17,-1.6,-1.59,-1.53,9.92,9.84,9.92,2,-0.07,,-0.07,0.03,0.03,0.03,-0.02,-0.02,-0.02,N
16:28:33,0.21,0.23,0.21,-1.56,-1.53,-1.5,9.88,9.91,9.9,1,-0.08,,-0.07,0.03,0.03,0.03,-0.02,-0.02,-0.02,N
16:28:35,0.14,0.2,0.15,-1.59,-1.57,-1.59,9.88,9.86,9.9,1,-0.07,,-0.07,0.02,0.03,0.02,-0.02,-0.02,-0.02,N
16:28:37,0.22,0.21,0.2,-1.47,-1.58,-1.53,9.97,9.96,9.94,1,-0.08,,-0.07,0.03,0.03,0.03,-0.02,-0.02,-0.02,N
16:28:39,0.14,0.2,0.17,-1.5,-1.53,-1.54,9.84,9.87,9.89,2,-0.08,,-0.07,0.03,0.03,0.03,-0.02,-0.02,-0.03,N
16:29:36,0.18,0.17,0.19,-1.47,-1.56,-1.56,9.92,9.9,9.9,2,-0.07,,-0.07,0.03,0.03,0.03,-0.02,-0.02,-0.02,N
16:29:41,0.18,0.23,0.18,-1.55,-1.58,-1.62,9.85,9.86,9.89,2,-0.08,,-0.07,0.03,0.03,0.03,-0.02,-0.02,-0.02,N
16:29:44,0.2,0.18,0.23,-1.49,-1.57,-1.54,9.87,9.9,9.92,1,-0.07,,-0.08,0.03,0.03,0.03,-0.03,-0.02,-0.02,N
16:29:46,0.19,0.18,0.25,-1.55,-1.57,-1.58,9.91,9.96,9.82,2,-0.08,,-0.07,0.03,0.03,0.03,-0.02,-0.02,-0.03,N
16:29:48,0.13,0.2,0.22,-1.59,-1.57,-1.59,9.89,9.98,9.83,1,-0.08,,-0.07,0.02,0.02,0.03,-0.02,-0.02,-0.02,N
16:29:50,0.21,0.14,0.2,-1.52,-1.58,-1.47,9.82,9.84,9.83,2,-0.07,,-0.08,0.03,0.03,0.04,-0.02,-0.02,-0.02,N
16:29:53,0.23,0.21,0.19,-1.59,-1.56,-1.62,9.89,9.85,9.96,1,-0.07,,-0.07,0.03,0.03,0.03,-0.03,-0.02,-0.02,N
16:29:55,0.2,0.19,0.2,-1.61,-1.55,-1.55,9.9,9.89,9.92,1,-0.07,,-0.07,0.03,0.03,0.02,-0.02,-0.02,-0.02,N
16:29:57,0.21,0.24,0.17,-1.58,-1.62,-1.54,9.87,9.92,9.81,1,-0.07,,-0.08,0.03,0.03,0.03,-0.02,-0.02,-0.02,N
